,test_loss,mse,rmse,mae,r2,test_loss_improvement,mse_improvement,rmse_improvement,mae_improvement,r2_improvement
flexible_gsphar_lags1_4_24_epochs5_asymmetric_log_cosh_20250518_164451,0.20102298568460822,3.6118206480750814e-05,0.006009842467215826,0.004196491092443466,0.1575719118118286,0.0,0.0,0.0,0.0,0.0
flexible_gsphar_lags1_4_24_epochs5_pinball_20250518_164952,0.20130095610302456,3.7016150599811226e-05,0.0060840899565844046,0.004319712053984404,0.13662809133529663,-0.1382779275064916,2.4861259917182466,1.2354315404039973,2.936285549677886,-13.291595079168017
flexible_gsphar_lags1_4_24_epochs5_asymmetric_mse_20250518_161330,0.6712372568101515,3.6340152291813865e-05,0.006028279380703408,0.004226603079587221,0.15239518880844116,-233.91069907959596,0.6144984280471943,0.3067786483282431,0.717551556298468,-3.2853082404492584
flexible_gsphar_lags1_4_24_epochs5_qlike_20250518_164723,3.0828517523095096,4.3097144953208044e-05,0.006564841578683224,0.004336689133197069,-0.0052062273025512695,-1433.5817154493468,19.322494532436572,9.234836262264157,3.34083970787058,-103.30403257959358
gsphar_crypto,0.5444983456345552,3.674400068121031e-05,0.006061682990821139,0.0042247045785188675,0.14274495840072632,-170.86372425531334,1.7326281159420587,0.862593718356286,0.6723113537927983,-9.409642391601203
