,test_loss,mse,rmse,mae,r2,test_loss_improvement,mse_improvement,rmse_improvement,mae_improvement,r2_improvement
flexible_gsphar_lags1_4_24_epochs5_mae_20250518_154102,0.5098414486943029,3.649399150162935e-05,0.006041025699467711,0.004133125301450491,0.14880704879760742,0.0,0.0,0.0,0.0,0.0
flexible_gsphar_lags1_4_24_epochs3_huber_20250518_145626,0.18445809531277715,3.619215203798376e-05,0.0060159913595336685,0.004142795689404011,0.1558471918106079,63.820498355876744,-0.8270935878091468,-0.41440545330321266,0.23397277479408896,4.731054792018474
gsphar_crypto,0.5444983456345552,3.674400068121031e-05,0.006061682990821139,0.0042247045785188675,0.14274495840072632,-6.797583254364303,0.6850694300452043,0.341950065785146,2.2157391898144807,-4.073792502347217
