,.FCHI,.AEX,.BFX,.STOXX50E,.IBEX,.GDAXI,.AORD,.FTSE,.MXX,.IXIC,.SSMI,.SPX,.RUT,.DJI,.BSESN,.NSEI,.KS11,.BVSP,.HSI,.KSE,.N225,.SSEC,.OSEAX,.GSPTSE
2002-05-08,0.0080080898834446,0.006510505053903751,0.005046040656705063,0.011303833787675755,0.008013829608731926,0.01335785326936181,0.0049140160180428695,0.009942794201440678,0.008915133435931996,0.015573594421725514,0.005609404203396322,0.013740743788958442,0.0048110826391363475,0.01761393612903998,0.005623639291126113,0.0031614075198317616,0.0113743583052232,0.009698931310990125,0.009760459098096738,0.017130978451212295,0.01608609297973874,0.005982243556969624,0.0068701344451592775,0.0096441836562724
2002-05-10,0.009414745702739879,0.009907095056517948,0.006757083631669176,0.010973184384926738,0.011930515857111964,0.013495105252753681,0.00394249458127908,0.007004222657114213,0.005377356784774822,0.016916608828175344,0.006415747389144746,0.00973346268321691,0.004734639147558261,0.008722010580809023,0.006139826354623274,0.0022198972237332587,0.017261328275607876,0.014892455418657462,0.009324069183135057,0.011378856155264466,0.006362435043676476,0.004983493934732021,0.007895874266736375,0.003536328756096174
2002-05-13,0.010555215774393245,0.007796709078937264,0.005584088277866067,0.010598557995010454,0.012996179993563494,0.010620798580577639,0.004019881138202968,0.005421398902013631,0.005341875277350298,0.014372872893478881,0.006220453349198486,0.008392057789774116,0.004678500337658563,0.008544925010929821,0.0044946838064543184,0.0037628491248353417,0.013756655850300246,0.008635371652590092,0.009550023560846395,0.010933447321041978,0.006385399601185206,0.005363555439142302,0.006193444523746769,0.0048126410789639746
2002-05-14,0.009960487846876446,0.009828352431698995,0.007538020209019523,0.010537199223977878,0.011149273086587305,0.011892995343352322,0.003565016744777312,0.007538325508859287,0.005698909167475051,0.011843850982024385,0.005897708966382723,0.01242322028054723,0.0044922679863447475,0.012312438426847056,0.006404270761561339,0.005074801463498431,0.013905108039580274,0.013177497198876576,0.00816236408788779,0.007868327594303814,0.0078014192885149155,0.006417983145230377,0.007693001719870497,0.004342254293264985
2002-05-15,0.010215837396087508,0.010049053044944085,0.007628364524742,0.01223201093433537,0.01210051640379864,0.013102905791670793,0.00828364873658436,0.006574042541876086,0.0056340193527677955,0.017248723867396683,0.005853540102924476,0.011530200472654411,0.005853034349499987,0.011046016533031264,0.008597918155737693,0.0034313038261477875,0.009489624579503685,0.010792323444156962,0.007413676166585684,0.0062371377625340205,0.013068149416321348,0.0073660358859231195,0.0064646966624396516,0.006261940454306592
2002-05-16,0.009541689537567956,0.007926837341180793,0.006452831055922032,0.010946719117269795,0.010164731946864118,0.012018598154568612,0.00565501527756522,0.006887709460238136,0.0059715567888732595,0.013576834619939951,0.005419306608648788,0.007422151935774203,0.004386542241329438,0.0070694111261766415,0.007462151906961662,0.003928387959003796,0.011158989736553215,0.008067311078959877,0.008110833817197148,0.006716274792250169,0.008850615434975484,0.01114235074004135,0.00645130556254159,0.00458600571740573
2002-05-21,0.011572715937095319,0.008766851498123021,0.006450856213686123,0.010351627487830114,0.010124573396607878,0.0119343460749385,0.003021383163088031,0.007307611290842571,0.005908751925064593,0.012274425034868232,0.006245108819608031,0.008360544020110019,0.005765924348343487,0.00860262229269792,0.02180452909193409,0.009642551615655673,0.013193938849555125,0.006962117240488205,0.011719520517896626,0.03141890406770261,0.005706582502248548,0.013349540010049035,0.007470054476712359,0.004027573821246881
2002-05-22,0.012324008789160287,0.01007273697012386,0.008264916579787965,0.01380197200530417,0.011129126119754418,0.014789996714015862,0.003526288881998335,0.0079672757296308,0.0063669666544469514,0.01505096649290005,0.007350860438441117,0.009327311005161747,0.005433504632467363,0.00918871293802008,0.017241853439346363,0.006865735930678721,0.01463447171679593,0.019936216647771964,0.007488490208021639,0.019120399887925986,0.010777985137580215,0.007303393019777716,0.0066432293764931115,0.004586969375256393
2002-05-24,0.007280466105894871,0.007559524898051359,0.008940843672522056,0.010358579754802297,0.008800899637734021,0.013696430774384252,0.002853064752532287,0.005522971703372151,0.003561920619700576,0.010950561870872198,0.0055179621175078224,0.006689871299662882,0.005406076133718748,0.00697720879066494,0.01859326999311848,0.005538082802747261,0.01275192855385804,0.011113944081009226,0.00714834463469457,0.008975393307073296,0.008515911255198773,0.0075607097022600605,0.008204194397686626,0.004585566794648622
2002-05-28,0.009900403099135816,0.005862208899895009,0.007868139225219934,0.009676184263438543,0.009655795061542774,0.011558179434491403,0.0025330478298776294,0.008801214808950833,0.006192737716335619,0.012120763467389337,0.005782295797395684,0.007733942115421987,0.004661236301193387,0.008021962535298622,0.015483110774259803,0.0032655664547696396,0.01305415885029365,0.007578038093124221,0.005988525875926453,0.015119517023592387,0.006956652226041211,0.005179952004480651,0.006528011734314835,0.003584678895686949
